date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:14:03	25631/25631	---M--	200	added ('OK')	text/html	etag:W/%22140147e71124d40b17740f5221fcc918%22	https://3dr.com/faa/drone-practice-tests/	C:/My%20Web%20Sites/redcat/3dr.com/faa/drone-practice-tests/index.html	(from )
23:14:04	137/137	---MCZ	200	added ('OK')	text/plain	etag:%2258ae0921-bd%22	https://3dr.com/robots.txt		(from )
23:14:05	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sun,%2026%20Feb%202017%2003:17:17%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/redcat/www.googletagmanager.com/gtm.05445.delayed	(from https://3dr.com/faa/drone-practice-tests/)
23:14:05	314796/314796	---M-Z	200	added ('OK')	text/css	etag:%22c8e00673%22	https://3dr.com/assets/application-00797c48a5972127fe0a398a4e88c660fcc4bcd21234975431c55caa36b9fbc8.css	C:/My%20Web%20Sites/redcat/3dr.com/assets/application-00797c48a5972127fe0a398a4e88c660fcc4bcd21234975431c55caa36b9fbc8.css	(from https://3dr.com/faa/drone-practice-tests/)
23:14:06	263725/263725	---M-Z	200	added ('OK')	application/javascript	etag:%22585b56d5-4062d%22	https://3dr.com/assets/application-a7bf769176291065a4ee8792a676fa71d4bb6f33052800621dec777a09483815.js	C:/My%20Web%20Sites/redcat/3dr.com/assets/application-a7bf769176291065a4ee8792a676fa71d4bb6f33052800621dec777a09483815.js	(from https://3dr.com/faa/drone-practice-tests/)
23:14:06	255/255	---M--	200	added ('OK')	image/png	etag:%225873d8ec-ff%22	https://3dr.com/assets/icons/arrow-c59b58fe458dcdfe7cf6f6263cfebf634837917d9fd7fbd73d31a83acaca7ba7.png	C:/My%20Web%20Sites/redcat/3dr.com/assets/icons/arrow-c59b58fe458dcdfe7cf6f6263cfebf634837917d9fd7fbd73d31a83acaca7ba7.png	(from https://3dr.com/faa/drone-practice-tests/)
23:14:08	24404/24404	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2003:17:19%20GMT	https://3dr.com/faa/drone-practice-tests/2/	C:/My%20Web%20Sites/redcat/3dr.com/faa/drone-practice-tests/2/index.html	(from https://3dr.com/faa/drone-practice-tests/)
23:14:09	24761/24761	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2003:17:19%20GMT	https://3dr.com/faa/drone-practice-tests/3/	C:/My%20Web%20Sites/redcat/3dr.com/faa/drone-practice-tests/3/index.html	(from https://3dr.com/faa/drone-practice-tests/)
23:14:10	25879/25879	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2003:17:19%20GMT	https://3dr.com/faa/drone-practice-tests/4/	C:/My%20Web%20Sites/redcat/3dr.com/faa/drone-practice-tests/4/index.html	(from https://3dr.com/faa/drone-practice-tests/)
23:14:10	24743/24743	---M-Z	200	added ('OK')	text/html	date:Sun,%2026%20Feb%202017%2003:17:21%20GMT	https://3dr.com/faa/drone-practice-tests/5/	C:/My%20Web%20Sites/redcat/3dr.com/faa/drone-practice-tests/5/index.html	(from https://3dr.com/faa/drone-practice-tests/)
